"PrecedingWeekToFollowingWeek","PrecedingWeekThursdayDate","PrecedingWeekThursdayOpen","PrecedingWeekThursdayHigh","PrecedingWeekThursdayLow","PrecedingWeekThursdayClose","PrecedingWeekThursdayVolume","PrecedingWeekThursdayDayOfTheWeek","PrecedingWeekFridayDate","PrecedingWeekFridayOpen","PrecedingWeekFridayHigh","PrecedingWeekFridayLow","PrecedingWeekFridayClose","PrecedingWeekFridayVolume","PrecedingWeekFridayDayOfTheWeek","Unnamed..15","PrecedingWeekFridayVolumeToPrecedingWeekThursdayVolumeRatio","FollowingWeekMondayDate","FollowingWeekMondayOpen","FollowingWeekMondayHigh","FollowingWeekMondayLow","FollowingWeekMondayClose","FollowingWeekMondayVolume","FollowingWeekMondayDayOfTheWeek","didFridayCloseHigherThanThursdayClose","FridayCloseComparedToThursdayCloseChangeInPercent","wasFridayIntradayPositive","FridayIntradayChangeInPercent","WasMondayOpenHigherThanFridayClose","MondayOpenComparedToFridayCloseChangeInPercent","MondayOpenToFridayCloseRatio","WasMondayCloseHigherThanFridayClose","MondayCloseComparedToFridayCloseChangeInPercent","fridayWasATripleWitchDay","NFPDayOrNot","NFPOutcome","CSIOutcome","CSIActualMinusExpected","CSIDayOrNot","wasItFOMCWeek","FOMCMeetingDate","FOMCAction","FOMCActualVSExpected","FOMCActionSpecial","PrecedingWeekFridayMonth","NFPOutcomeIsShock","CSIOutcomeIsShock","PrecedingWeekFridayVolumePrecedingWeekThursdayVolumeRATIO","Month","Monthclose","non_random_modelOPEN_predict","mixed_modelOPEN_predict","non_random_modelCLOSE_predict","mixed_modelCLOSE_predict"
"6/2/03 to 6/9/03","6/5/03",98.580002,99.650002,98.269997,99.650002,46262400,"Thursday","2003-06-06",100.400002,101.400002,99.129997,99.260002,60356800,"Friday",NA,1.304662101,"6/9/03",98.769997,99.099998,97.769997,98.25,37808500,"Monday",0,-0.391369786,0,-1.135458145,0,-0.49365806,0.995063419,0,-1.017531714,0,0,"Baseline","",0,0,0,"","","","","Jun",0,0,1.30466210140416,"Even","Odd",1,1,1,1
"6/9/03 to 6/16/03","6/12/03",100.75,100.900002,99.620003,100.610001,36442000,"Thursday","2003-06-13",100.610001,100.75,98.949997,99.559998,48628300,"Friday",NA,1.334402612,"6/16/03",99.959999,101.699997,99.800003,101.660004,36326300,"Monday",0,-1.043636805,0,-1.043636805,1,0.401768790714523,1.004017688,1,2.10928690456584,0,0,"Baseline","",0,0,0,"","","","","Jun",0,0,1.33440261237034,"Even","Odd",1,1,1,1
"6/16/03 to 6/23/03","6/19/03",101.639999,101.730003,99.839996,100.019997,43551700,"Thursday","2003-06-20",100.389999,100.5,99.419998,99.440002,41545000,"Friday",NA,0.953923727,"6/23/03",99.449997,99.660004,97.919998,98.419998,34237500,"Monday",0,-0.579879042,0,-0.946306414,1,0.010051287,1.000100513,0,-1.025748169,1,0,"Baseline","",0,0,0,"","","","","Jun",0,0,0.953923727431995,"Even","Odd",1,1,0,0
"6/23/03 to 6/30/03","6/26/03",97.779999,98.980003,96.959999,98.800003,33477300,"Thursday","2003-06-27",98.75,99.190002,97.580002,97.660004,54208800,"Friday",NA,1.619270371,"6/30/03",98.220001,98.669998,97.470001,97.629997,33349000,"Monday",0,-1.153845107,0,-1.103793418,1,0.573414885381323,1.005734149,0,-0.030725987,0,0,"Baseline","",0,0,1,"6/25/03","Hike","Match","","Jun",0,0,1.6192703712665,"Even","Odd",1,1,1,1
"7/7/03 to 7/14/03","7/10/03",99.839996,100.040001,98.629997,99.300003,49777700,"Thursday","2003-07-11",99.389999,100.449997,99.389999,100.239998,39976300,"Friday",NA,0.803096567,"7/14/03",101.199997,101.900002,100.449997,100.730003,42114900,"Monday",1,0.946621320847288,1,0.855215825085175,1,0.957700537863136,1.009577005,1,0.488831813424414,0,0,"Baseline","",0,0,0,"","","","","Jul",0,0,0.803096567338386,"Even","Odd",1,1,1,1
"7/14/03 to 7/21/03","7/17/03",99.150002,99.879997,98.160004,98.5,52253500,"Thursday","2003-07-18",99.019997,99.800003,98.459999,99.510002,35698100,"Friday",NA,0.683171462,"7/21/03",99.449997,99.489998,97.849998,98.279999,34786000,"Monday",1,1.02538274111675,1,0.494854589825928,0,-0.060300471,0.999396995,0,-1.236059668,0,0,"Baseline","",0,0,0,"","","","","Jul",0,0,0.683171462198704,"Even","Odd",0,1,1,1
"7/21/03 to 7/28/03","7/24/03",99.989998,100.339996,98.370003,98.489998,40896200,"Thursday","2003-07-25",98.660004,100.290001,98.040001,100.230003,43241100,"Friday",NA,1.057337846,"7/28/03",100.370003,100.980003,99.669998,99.860001,34382800,"Monday",1,1.76668193251461,1,1.59132265999097,1,0.139678735,1.001396787,0,-0.369152937,0,0,"Baseline","",0,0,0,"","","","","Jul",0,0,1.05733784557,"Even","Odd",1,1,1,1
"7/28/03 to 8/4/03","7/31/03",99.980003,100.910004,99.169998,99.389999,54937200,"Thursday","2003-08-01",99.190002,99.529999,98.239998,98.510002,49321000,"Friday",NA,0.897770545,"8/4/03",98.309998,99,97,98.510002,55214100,"Monday",0,-0.885397936,0,-0.685552965,0,-0.20302913,0.997969709,0,0,0,0,"Baseline","Baseline",0.400000000000006,1,0,"","","","","Aug",0,0,0.897770545277153,"Even","Even",1,1,1,1
"8/4/03 to 8/11/03","8/7/03",97.169998,98.07,96.760002,98,43427400,"Thursday","2003-08-08",98.32,98.550003,97.760002,98.279999,27357300,"Friday",NA,0.629954821,"8/11/03",98.260002,99.040001,97.839996,98.650002,34631400,"Monday",1,0.285713265306126,0,-0.0406845,0,-0.020346968,0.99979653,1,0.376478432809098,0,0,"Baseline","",0,0,0,"","","","","Aug",0,0,0.629954821149781,"Even","Even",1,1,1,1
"8/11/03 to 8/18/03","8/14/03",99.099998,99.75,98.449997,99.309998,35525100,"Thursday","2003-08-15",99.360001,99.790001,99.120003,99.620003,12567000,"Friday",NA,0.353749884,"8/18/03",99.93,100.599998,99.739998,100.480003,22873800,"Monday",1,0.312158903,1,0.261676728445283,1,0.311179472660736,1.003111795,1,0.863280439772723,0,0,"Baseline","",0,0,0,"","","","","Aug",0,0,0.353749883884915,"Even","Even",0,0,1,1
"8/18/03 to 8/25/03","8/21/03",101.050003,101.519997,100.400002,100.769997,46494200,"Thursday","2003-08-22",101.75,101.82,99.730003,99.769997,52040300,"Friday",NA,1.119285846,"8/25/03",99.709999,100.830002,99.279999,99.93,23473000,"Monday",0,-0.992358866,0,-1.945948894,0,-0.060136315,0.999398637,1,0.160371860089364,0,0,"Baseline","",0,0,0,"","","","","Aug",0,0,1.11928584640665,"Even","Even",1,1,1,1
"9/1/03 to 9/8/03","9/4/03",103.099998,103.550003,102.760002,103.410004,28381000,"Thursday","2003-09-05",102.940002,103.550003,102.400002,102.830002,31637300,"Friday",NA,1.11473521,"9/8/03",103.040001,103.879997,102.93,103.68,32632800,"Monday",0,-0.560876102,0,-0.106858362,1,0.204219581752036,1.002042196,1,0.826605060262484,0,0,"Baseline","",0,0,0,"","","","","Sep",0,0,1.11473521017582,"Even","Even",1,1,1,1
"9/8/03 to 9/15/03","9/11/03",102.099998,102.760002,101.839996,102.260002,38396300,"Thursday","2003-09-12",101.910004,102.639999,101.349998,102.449997,42524800,"Friday",NA,1.107523381,"9/15/03",102.519997,102.629997,101.949997,102.089996,21312800,"Monday",1,0.185796006536354,1,0.529872415665881,1,0.068326015,1.00068326,0,-0.351391909,0,0,"Baseline","",0,0,0,"","","","","Sep",0,0,1.10752338115912,"Even","Even",0,1,1,1
"9/15/03 to 9/22/03","9/18/03",103.400002,104.699997,103.169998,104.599998,30243600,"Thursday","2003-09-19",104.269997,104.599998,103.400002,103.669998,34331600,"Friday",NA,1.135169094,"9/22/03",102.849998,102.959999,102.029999,102.550003,36677400,"Monday",0,-0.889101355,0,-0.575428232,0,-0.790971367,0.992090286,0,-1.080346312,1,0,"Baseline","",0,0,0,"","","","","Sep",0,0,1.13516909362642,"Even","Even",1,1,0,0
"9/22/03 to 9/29/03","9/25/03",101.410004,101.879997,100.199997,100.279999,52673100,"Thursday","2003-09-26",100.440002,100.660004,99.849998,99.949997,42914700,"Friday",NA,0.814736554,"9/29/03",100.300003,100.989998,99.790001,100.93,36771600,"Monday",0,-0.329080578,0,-0.487858413,1,0.350181101055969,1.003501811,1,0.980493276052835,0,0,"Baseline","",0,0,0,"","","","","Sep",0,0,0.814736554332287,"Even","Even",1,1,1,1
"9/29/03 to 10/6/03","10/2/03",101.93,102.559998,101.629997,102.449997,44591500,"Thursday","2003-10-03",103.669998,104.279999,103.080002,103.389999,48806900,"Friday",NA,1.094533712,"10/6/03",103.480003,103.989998,103.199997,103.860001,20226500,"Monday",1,0.917522721,0,-0.270086819,1,0.087052907,1.000870529,1,0.454591357525783,0,0,"Upbeat","",0,0,0,"","","","","Oct",0,0,1.0945337115818,"Even","Even",1,1,1,1
"10/6/03 to 10/13/03","10/9/03",104.879997,105.220001,103.830002,104.279999,40066500,"Thursday","2003-10-10",104.269997,104.599998,103.910004,104.57,22682800,"Friday",NA,0.566128811,"10/13/03",104.709999,105.290001,104.510002,104.900002,23825600,"Monday",1,0.278098391619652,1,0.28771747255348,1,0.133880654107299,1.001338807,1,0.315579994262224,0,0,"Baseline","",0,0,0,"","","","","Oct",0,0,0.566128810851959,"Even","Even",0,0,1,1
"10/13/03 to 10/20/03","10/16/03",104.68,105.730003,104.650002,105.410004,32772200,"Thursday","2003-10-17",105.470001,105.629997,103.980003,104.260002,32790300,"Friday",NA,1.000552297,"10/20/03",104.449997,105.040001,103.940002,105.040001,27657000,"Monday",0,-1.090979942,0,-1.147244703,1,0.182231916703777,1.001822319,1,0.748128702318655,0,0,"Baseline","",0,0,0,"","","","","Oct",0,0,1.00055229737399,"Even","Even",1,1,1,1
"10/20/03 to 10/27/03","10/23/03",102.889999,103.949997,102.839996,103.349998,45830500,"Thursday","2003-10-24",102.830002,103.580002,102.18,103.580002,51723600,"Friday",NA,1.128584676,"10/27/03",103.739998,104.18,103.269997,103.629997,32460200,"Monday",1,0.222548625496823,1,0.729359122253056,1,0.15446611,1.001544661,1,0.048267039,0,0,"Baseline","",0,0,0,"","","","","Oct",0,0,1.12858467614362,"Even","Even",1,1,1,1
"10/27/03 to 11/3/03","10/30/03",105.790001,105.970001,104.800003,105.400002,39123100,"Thursday","2003-10-31",105.400002,105.739998,105.220001,105.300003,25761600,"Friday",NA,0.658475428,"11/3/03",105.75,106.610001,105.709999,105.989998,37589300,"Monday",0,-0.09487571,0,-0.09487571,1,0.42734756617243,1.004273476,1,0.655265888264026,0,0,"Baseline","",0,0,0,"","","","","Oct",0,0,0.658475427560699,"Even","Even",1,1,1,1
"11/3/03 to 11/10/03","11/6/03",105.599998,106.440002,105.099998,106.400002,28392300,"Thursday","2003-11-07",106.639999,106.720001,105.57,105.610001,31723200,"Friday",NA,1.117317019,"11/10/03",105.739998,105.839996,105.010002,105.18,25530800,"Monday",0,-0.742482129,0,-0.9658646,1,0.123091562133403,1.001230916,0,-0.407159356,0,0,"Baseline","",0,0,0,"","","","","Nov",0,0,1.11731701905094,"Even","Even",1,1,1,1
"11/10/03 to 11/17/03","11/13/03",106.010002,106.540001,105.779999,106.360001,29714800,"Thursday","2003-11-14",106.400002,106.949997,105.290001,105.459999,49158500,"Friday",NA,1.654343963,"11/17/03",104.910004,105.139999,104.040001,104.93,44382100,"Monday",0,-0.846184648,0,-0.88346145,0,-0.521520013,0.9947848,0,-0.502559269,0,0,"Baseline","",0,0,0,"","","","","Nov",0,0,1.65434396327756,"Even","Even",1,1,1,1
"11/17/03 to 11/24/03","11/20/03",104,105.239998,103.75,103.779999,53578700,"Thursday","2003-11-21",104.239998,104.330002,103.620003,104.209999,30016000,"Friday",NA,0.560222626,"11/24/03",104.690002,105.779999,104.68,105.589996,28906400,"Monday",1,0.41433802673287,0,-0.02877878,1,0.460611270133503,1.004606113,1,1.32424624627432,0,0,"Baseline","",0,0,0,"","","","","Nov",0,0,0.56022262578226,"Even","Even",1,1,1,1
"12/1/03 to 12/8/03","12/4/03",107.169998,107.720001,106.940002,107.599998,36089500,"Thursday","2003-12-05",107.120003,107.800003,106.620003,106.849998,28824400,"Friday",NA,0.79869214,"12/8/03",106.739998,107.639999,106.68,107.57,32482900,"Monday",0,-0.697026035,0,-0.252058432,0,-0.10294806,0.998970519,1,0.673843718742974,0,0,"Baseline","",0,0,0,"","","","","Dec",0,0,0.798692140373239,"Even","Even",1,1,1,1
"12/8/03 to 12/15/03","12/11/03",106.68,108.099998,106.669998,107.93,45304000,"Thursday","2003-12-12",107.970001,108.199997,107.389999,108.139999,34142200,"Friday",NA,0.753624404,"12/15/03",109.169998,109.230003,107.480003,107.599998,38693400,"Monday",1,0.194569628462889,1,0.15744929001159,1,0.952468105719146,1.009524681,0,-0.49935362,0,0,"Baseline","",0,0,0,"","","","","Dec",0,0,0.753624404026135,"Even","Even",0,0,1,1
"12/15/03 to 12/22/03","12/18/03",108.550003,109.730003,108.389999,109.720001,29353100,"Thursday","2003-12-19",109.300003,109.370003,108.580002,108.900002,41465100,"Friday",NA,1.412631034,"12/22/03",108.790001,109.660004,108.779999,109.660004,27611300,"Monday",0,-0.74735599,0,-0.365966138,0,-0.101011017,0.99898989,1,0.697889794345458,1,0,"Baseline","",0,0,0,"","","","","Dec",0,0,1.41263103386014,"Even","Even",1,1,0,0
"1/5/04 to 1/12/04","1/8/04",113.25,113.410004,112.769997,113.379997,36438400,"Thursday","2004-01-09",112.830002,113.5,112.269997,112.389999,54084300,"Friday",NA,1.484266598,"1/12/04",112.550003,113.25,112.360001,113.220001,31564100,"Monday",0,-0.87316813,0,-0.389969859,1,0.142364980357372,1.00142365,1,0.738501652624797,0,0,"Baseline","",0,0,0,"","","","","Jan",0,0,1.48426659787477,"Odd","Odd",1,1,1,1
"1/19/04 to 1/26/04","1/22/04",115.139999,115.379997,114.580002,114.800003,29888500,"Thursday","2004-01-23",115,115.370003,113.949997,114.43,44245300,"Friday",NA,1.480345283,"1/26/04",114.389999,115.93,114.379997,115.870003,30460600,"Monday",0,-0.322302256,0,-0.495652174,0,-0.034956742,0.999650433,1,1.25841387747967,0,0,"Baseline","",0,0,0,"","","","","Jan",0,0,1.48034528330294,"Odd","Odd",1,1,1,1
"1/26/04 to 2/2/04","1/29/04",113.559998,113.849998,112.559998,113.480003,60117100,"Thursday","2004-01-30",113.519997,113.720001,113.089996,113.480003,30984400,"Friday",NA,0.515400776,"2/2/04",113.699997,114.68,113.120003,113.970001,38832400,"Monday",0,0,0,-0.035230797,1,0.193861468262386,1.001938615,1,0.431792374908555,0,0,"Baseline","",0,0,0,"","","","","Jan",0,0,0.515400776151877,"Odd","Odd",1,1,1,1
"2/2/04 to 2/9/04","2/5/04",113.169998,113.540001,112.779999,113.18,37226800,"Thursday","2004-02-06",113.419998,114.699997,113.199997,114.449997,37216000,"Friday",NA,0.999709886,"2/9/04",114.669998,114.870003,114.290001,114.480003,24851300,"Monday",1,1.12210372857394,1,0.908128212098884,1,0.192224557244864,1.001922246,1,0.026217563,0,0,"Baseline","",0,0,0,"","","","","Feb",0,0,0.999709886425908,"Even","Even",1,1,1,1
"2/16/04 to 2/23/04","2/19/04",116.330002,116.389999,115.059998,115.230003,51146200,"Thursday","2004-02-20",115.480003,115.559998,114.32,114.879997,46728800,"Friday",NA,0.913631902,"2/23/04",115.220001,115.260002,114.169998,114.589996,36357000,"Monday",0,-0.303745544,0,-0.519575671,1,0.295964492408538,1.002959645,0,-0.252438203,0,0,"Baseline","",0,0,0,"","","","","Feb",0,0,0.91363190227231,"Even","Even",1,1,1,1
"2/23/04 to 3/1/04","2/26/04",114.610001,115.290001,114.339996,114.940002,29683000,"Thursday","2004-02-27",115.190002,115.739998,114.629997,115.019997,39312000,"Friday",NA,1.324394435,"3/1/04",115.43,116.339996,115.25,116.160004,33130800,"Monday",1,0.06959718,0,-0.147586593,1,0.356462363670557,1.003564624,1,0.991138088796852,0,0,"Baseline","",0,0,0,"","","","","Feb",0,0,1.32439443452481,"Even","Even",1,1,1,1
"3/1/04 to 3/8/04","3/4/04",115.720001,116.099998,115.519997,115.989998,21060000,"Thursday","2004-03-05",115.419998,116.949997,115.279999,116.379997,55905600,"Friday",NA,2.654586895,"3/8/04",116.339996,116.620003,114.910004,114.959999,39281600,"Monday",1,0.336235026058025,1,0.831744079565827,0,-0.034371027,0.99965629,0,-1.220139231,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,2.65458689458689,"Odd","Odd",1,0,1,1
"3/8/04 to 3/15/04","3/11/04",112.400002,113.269997,111.099998,111.120003,89134800,"Thursday","2004-03-12",111.730003,112.709999,111.580002,112.580002,54012200,"Friday",NA,0.605960859,"3/15/04",112.269997,112.349998,110.900002,111.199997,57677200,"Monday",1,1.31389395300862,1,0.76076163714056,0,-0.275364181,0.997246358,0,-1.22579941,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.605960859282794,"Odd","Odd",1,0,1,1
"3/15/04 to 3/22/04","3/18/04",112.699997,113.269997,111.93,113.07,60014300,"Thursday","2004-03-19",112.410004,112.57,111.040001,111.059998,48636200,"Friday",NA,0.810410186,"3/22/04",110.540001,110.57,109.099998,109.650002,62752100,"Monday",0,-1.777661626,0,-1.200966063,0,-0.468212686,0.995317873,0,-1.26958043,1,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.810410185572439,"Odd","Odd",1,1,0,0
"3/22/04 to 3/29/04","3/25/04",110.080002,111.300003,109.790001,111,49873600,"Thursday","2004-03-26",110.959999,111.790001,110.800003,111.029999,37409500,"Friday",NA,0.750086218,"3/29/04",111.629997,112.739998,111.580002,112.589996,44113600,"Monday",1,0.027026126,1,0.063085797,1,0.540392691528349,1.005403927,1,1.40502297942018,0,0,"Baseline","",0,0,0,"","","","","Mar",0,0,0.750086217959,"Odd","Odd",0,0,1,1
"3/29/04 to 4/5/04","4/1/04",113.07,113.870003,113.050003,113.779999,45103800,"Thursday","2004-04-02",114.809998,114.839996,113.900002,114.639999,50987700,"Friday",NA,1.130452423,"4/5/04",114.459999,115.379997,114.440002,115.269997,30251800,"Monday",1,0.755844619052949,0,-0.148069857,0,-0.15701326,0.998429867,1,0.549544666342853,0,0,"Upbeat","",0,0,0,"","","","","Apr",0,0,1.13045242307743,"Even","Even",1,1,1,1
